"Subsedes","Numero-fisc-rem","Eco-tempo","Eco-fin","","","",""
"Alto-Tiete","2","5 horas e 40 minutos"," $ 747.64 ","","","",""
"Assis","6","35 horas e 10 minutos"," $ 11,482.34 ","","","",""
"Baixada","3","12 horas e 30 minutos"," $ 2,948.00 ","","","",""
"Bauru","1","1 hora e 30 minutos"," $ 711.92 ","","","",""
"Campinas","2","3 horas e 20 minutos"," $ 1,294.00 ","","","",""
"Sorocaba","4","19 horas"," $ 5,989.92 ","","","",""
"Metropolitana","3","7 horas"," $ 473.36 ","","","",""
"Grande-ABC","5","5 horas e 10 minutos"," $ 324.46 ","","","",""
"Ribeirao-Preto","2","8 horas e 20 minutos"," $ 3,106.11 ","","","",""
"SJRP","3","3 horas e 20 minutos"," $ 950.48 ","","","",""
"Vale","3","5 horas e 10 minutos"," $ 1,315.00 ","","","",""
"Total","34","106 horas e 10 minutos"," $ 29,343.23 ","","","",""
